RespondentID,Which category below includes your age?,Are you male or female?,What graduate program are you pursuing?,What graduate program are you pursuing? - Other (please specify),Are you a full-time graduate student?,Are you an International Student?,In which type of housing do you currently live?,In which type of housing do you currently live? - Other (please specify),What is the size of your current household?,"In a typical month, about how much money do you spend on rent/mortgage and utilities?",Is there a need for a graduate student residence hall on Texas Tech’s campus?,"If on-campus graduate housing had been available at the time you were admitted to Texas Tech, how likely would you have been to apply to live in such housing?",What types of residence would you be interested in? (Check all that apply.) - Studio/efficiency,What types of residence would you be interested in? (Check all that apply.) - 1 bedroom apt,What types of residence would you be interested in? (Check all that apply.) - 2 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - 3 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - I am not interested in on-campus housing,What types of residence would you be interested in? (Check all that apply.) - Other (please specify),How important is each of the following for a graduate student residence hall? - Child care,How important is each of the following for a graduate student residence hall? - Playground space,How important is each of the following for a graduate student residence hall? - Entertainment spaces (e.g. movie theater),How important is each of the following for a graduate student residence hall? - Alcohol allowed inside a residence,How important is each of the following for a graduate student residence hall? - Low cost,How important is each of the following for a graduate student residence hall? - Modern appliances,How important is each of the following for a graduate student residence hall? - Minimal grocery store,How important is each of the following for a graduate student residence hall? - Optional dining plan available,How important is each of the following for a graduate student residence hall? - Other,"How important is each of the following for a graduate student residence hall? - Please specify ""Other""",How likely would you be to live in a graduate student only residence hall if Texas Tech offered one? - ,Would you expect to pay more or less for rent and utilities in a graduate student residence hall than you pay now?,Would you choose NOT to live in a graduate residence hall if the university filled open rooms with undergraduate students?,Would you choose NOT to live in a graduate residence hall if it were next to an undergraduate residence hall?,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)? ,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)?  - Other (please specify),"If a graduate student residence hall is added to Texas Tech’s campus, what suggestions would you give building planners? - Open-Ended Response"
2371589068,21 to 25,Female,Master’s,,Yes,No,Townhouse,,More than 3 bedrooms,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,,,,,not important,not important,not important,not important,most important,most important,somewhat important,important,not important,,Neutral,Pay less,Yes,No,Walk,,
2371589116,21 to 25,Male,Master’s,,Yes,No,Apartment,,2 bedrooms,$600 to $800,No,Likely,Studio/efficiency,1 bedroom apt,,,,,most important,most important,most important,most important,most important,most important,most important,most important,,,Unlikely,Pay more,Yes,No,Bus,,Bathroom inside the bedroom is very important; enough with shared bathroom nonsense. It doesn't work! That's the only thing that stopped me from living on campus this year.
2371589118,21 to 25,Male,Master’s,,Yes,Yes,Single-family house,,3 bedrooms,$400 to $600,No,Somewhat likely,,,,,I am not interested in on-campus housing,,important,not important,somewhat important,important,most important,most important,important,somewhat important,,,Neutral,Pay about the same,Yes,No,Walk,,To make sure that the environment would be useful for studying.
2371589528,26 to 35,Other,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,$600 to $800,,,,,,,,,,,,,,,,,,,,,,,,,
2371591100,26 to 35,Female,Master’s,,Yes,Yes,Apartment,,More than 3 bedrooms,$400 to $600,Yes,Very likely,,1 bedroom apt,,,,,not important,important,most important,not important,most important,most important,important,somewhat important,,,Likely,Pay less,Yes,Yes,Walk,,
2371593141,26 to 35,Female,Doctoral,,No,No,Single-family house,,2 bedrooms,$600 to $800,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,important,somewhat important,important,most important,important,most important,important,most important,pet friendly options,Neutral,Pay about the same,Yes,Yes,Bike,,"most student housing focuses on lavish amenities to lure wealthy undergrads. for most of us, we are more focused on living our lives and saving time/money. we have established a life: families, pets. we don't need luxury... we need balconies, playgrounds, pet parks. study nooks. built in bookcases. anything to save time and be more convenient (washer/dryer hookups, nearby groceries, 24/hour restaurant)."
2371595626,26 to 35,Male,Doctoral,,No,No,Duplex,,3 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,most important,not important,most important,important,somewhat important,somewhat important,,,Unlikely,Pay less,Yes,Yes,Walk,,
2371595678,26 to 35,Female,Master’s,,Yes,No,Apartment,,Studio / Efficiency,$400 to $600,Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,somewhat important,important,most important,most important,most important,somewhat important,important,,,Likely,Pay less,No,Yes,Bus,,Individual and small group meeting/study rooms would be ideal for graduate students.
2371596052,26 to 35,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,,,,,,
2371596876,36 to 45,Male,Doctoral,,Yes,No,Condominium,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,most important,most important,important,important,most important,most important,important,most important,,,Neutral,Pay less,Yes,Yes,Car,,Be mindful of students with families.
2371597242,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,Yes,Not likely at all,,1 bedroom apt,,,,,important,somewhat important,not important,most important,most important,most important,most important,most important,,,Unlikely,Pay less,Yes,Yes,Bus,,
2371597781,36 to 45,Female,Master’s,,No,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,important,important,important,important,important,important,,,Unlikely,Pay less,Yes,Yes,Car,,Make them all individual apartments with good insulation to block out noise between the apartments.
2371599261,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,$600 to $800,Yes,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,somewhat important,somewhat important,somewhat important,important,most important,somewhat important,most important,important,,,Neutral,Pay more,No,No,Walk,,Comfortably spaced and preferably in a quiet location
2371599774,26 to 35,Male,Master’s,,Yes,Yes,Condominium,,2 bedrooms,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,somewhat important,important,most important,most important,somewhat important,somewhat important,not important,most important,the possiblity for significant other to stay for a couple a days,,Pay less,No,No,Bus,,"not to the buiding planners but administration. Make it affordable and consider we are grown-ups, with decison in terms of what we drink and who we invite to stay over a couple of nights. As long as it is not illegal, they should not try to restrict our behavior to their moral standards"
2371600735,36 to 45,Female,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,somewhat important,somewhat important,not important,not important,most important,important,important,important,,,Likely,Pay less,Yes,No,Bus,,"Make sure that the walls are insulated enough and that  the rooms are, at the most, for 2 people with shared bathroom. Graduate students work all night, so make sure to have well lit paths and security to get in and out. Also, it would be necessary to have laundry and eating options."
2371604020,36 to 45,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Very likely,Studio/efficiency,,,,,,not important,not important,not important,somewhat important,most important,most important,most important,important,,,Unlikely,Pay less,No,Yes,Bus,,
2371604325,26 to 35,Male,Master’s,,Yes,No,Single-family house,,3 bedrooms,Less than $400,Yes,Likely,Studio/efficiency,,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,not important,important,important,most important,important,important,somewhat important,most important,office/workspace with proper telecom technology and capacity,Likely,Pay more,Yes,No,Bike,,"My recommendation would be to style the architecture and layout of the apartments to more closely resemble the type of living situation that a young professional would most likely be faced with once their graduate studies are over and they enter the professional workforce.  Individual rooms for tenants with common shared living areas as opposed to ""dorm style"" living with 2 people in the same room with no adjacent living areas."
2371605254,46 or older,Female,Doctoral,,Yes,Yes,Single-family house,,3 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,somewhat important,important,important,important,important,somewhat important,not important,,Unlikely,Pay less,Yes,Yes,Bus,,
2371606179,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,Less than $400,Yes,Not likely at all,,,,,I am not interested in on-campus housing,,important,somewhat important,important,not important,most important,important,important,most important,,,Neutral,Pay less,Yes,No,Bus,,
2371606638,21 to 25,Male,Master’s,,Yes,No,Apartment,,2 bedrooms,$600 to $800,No,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,important,important,most important,important,important,important,important,Dog Friendly,Likely,Pay about the same,No,No,Bus,,Large closet space (preferably a walk-in) would be a BIG selling point for me.
2371608116,21 to 25,Female,Master’s,,Yes,No,Apartment,,1 bedroom,"$800 to $1,000",No,Somewhat likely,,1 bedroom apt,,,,,somewhat important,somewhat important,somewhat important,most important,most important,most important,not important,not important,not important,,Neutral,Pay less,Yes,Yes,Walk,,
2371608214,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,2 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,most important,most important,most important,important,most important,most important,most important,most important,,,Neutral,Pay less,Yes,No,Walk,,
2371609371,21 to 25,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,Less than $400,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,most important,most important,not important,most important,important,somewhat important,most important,,not important,,,Pay about the same,No,No,Walk,,
2371611629,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Very likely,Studio/efficiency,,,,,,important,important,important,somewhat important,most important,somewhat important,most important,important,,,Likely,Pay more,No,No,Walk,,
2371612163,26 to 35,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Not likely at all,,,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,important,somewhat important,not important,important,most important,important,important,not important,,,Unlikely,Pay more,Yes,Yes,Car,,"Affordable, yet equipped with reasonable appliances (refrigerator, microwave, maybe even hook-ups for laundry within the apartment, but not necessary); graduate student bills and loans are quite a bit more expensive than undergraduate loans, so should cater to students in that way (they are also committed to school, for the most part, so should receive additional benefits); an indoor apartment building with an elevator and covered parking (easier access and safety)"
2371613020,26 to 35,Female,Master’s,,Yes,Yes,Apartment,,2 bedrooms,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,somewhat important,somewhat important,somewhat important,most important,important,important,important,not important,,Neutral,Pay about the same,Yes,Yes,Bus,,"If it's 2 or more bedrooms, it would be better if rooms are not next to each other and a common space (like kitchen) is located in between."
2371613678,46 or older,Male,Master’s,,No,No,Single-family house,,More than 3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,most important,most important,not important,most important,not important,not important,You are asking the wrong question.  What would you pay to have the following.  All the above items are great and most would want them but at what cost?,Unlikely,Pay less,Yes,No,Walk,,Do not do it!!
2371614360,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,3 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,,,,,,not important,not important,somewhat important,important,most important,somewhat important,somewhat important,important,,,Likely,Pay about the same,No,No,Walk,,"Hopefully, it locates less than 2 miles away from the campus and it will be good if the rent is about $400/person."
2371615465,26 to 35,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$600 to $800,Yes,Very likely,,1 bedroom apt,,,,,important,somewhat important,important,most important,most important,most important,somewhat important,somewhat important,not important,,Likely,Pay about the same,Yes,No,Bike,,"I would suggest thinking about it's location to loud parts of campus that would be a detriment to what graduate students need, which is quiet."
2371615540,26 to 35,Female,Doctoral,,Yes,No,Apartment,,2 bedrooms,"$1,000 or more",Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,most important,important,not important,most important,somewhat important,somewhat important,not important,important,most important,"AVAILABILITY! The housing in Lubbock is very skewed towards undergraduate needs, with the vast majority of housing being single-bedroom leases.",Neutral,Pay less,No,No,Walk,,"I would prefer to have parking, childcare, and outdoor space instead of overall square footage."
2371615553,26 to 35,Male,Doctoral,,Yes,Yes,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Very likely,,,,,,Family housing,most important,most important,somewhat important,not important,most important,most important,most important,not important,,,Likely,Pay less,No,No,Bus,,
2371615759,26 to 35,Male,Master’s,,Yes,No,Single-family house,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,Pay less,No,No,Walk,,
2371615953,,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,not important,somewhat important,most important,most important,most important,important,most important,,,Unlikely,Pay less,Yes,No,Bus,,
2371616741,36 to 45,Female,Master’s,,No,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,important,important,important,important,not important,,,Neutral,Pay less,No,No,Car,,
2371619323,21 to 25,Female,Graduate Non-Degree (GTMP),,Yes,No,Apartment,,2 bedrooms,$600 to $800,No,Not likely at all,Studio/efficiency,1 bedroom apt,,,,,not important,not important,important,most important,important,important,somewhat important,somewhat important,most important,"I would be interested if it was set up apartment style, with freedom to come and go.  No RAs",Unlikely,Pay about the same,No,Yes,Bus,,"Apartment style, rather than dorm style.  I would give each room it's own bathroom.  There are several college apartments right off campus and all have private bathrooms."
2371620037,21 to 25,Male,Master’s,,Yes,No,Single-family house,,2 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,important,most important,important,important,most important,important,,,Unlikely,Pay less,Yes,No,Bike,,
2371620579,36 to 45,Male,Doctoral,,Yes,No,Duplex,,2 bedrooms,"$1,000 or more",Yes,Somewhat likely,Studio/efficiency,,,,,,important,somewhat important,not important,somewhat important,important,somewhat important,,somewhat important,,,Likely,Pay less,Yes,No,Bus,,FAMILY HOUSING
2371621130,21 to 25,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,No,Not likely at all,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,important,not important,important,most important,important,important,important,not important,,Neutral,Pay about the same,No,No,Bike,,Economics is the primary concern for most graduate international student not having part time work or assistant-ship.
2371622244,36 to 45,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Somewhat likely,,,,,,What about town-homes for married graduate students?,most important,most important,not important,important,most important,most important,somewhat important,somewhat important,,,Unlikely,Pay about the same,,,,,"A graduate student residence hall is a good idea, and I think there is a need. But don't overlook apartment style housing for married grad students and grad students with children. I moved here from 1600 miles away and finding a suitable rental from a distance was a horrible experience. We really could have used some married student houseing for the first year while we relocated and learned about rental options."
2371622435,46 or older,Male,Master’s,,No,No,Single-family house,,More than 3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,somewhat important,important,important,somewhat important,somewhat important,important,,,Unlikely,Pay less,Yes,No,Bus,,Include Family options and variable Meal Plans
2371622946,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,"$800 to $1,000",No,Somewhat likely,,1 bedroom apt,,,,,not important,not important,somewhat important,somewhat important,important,most important,most important,not important,,,Unlikely,Pay less,Yes,Yes,Walk,,
2371623650,21 to 25,Male,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,No,Not likely at all,,1 bedroom apt,,,I am not interested in on-campus housing,,not important,not important,not important,most important,most important,important,important,important,,,Unlikely,Pay more,Yes,No,Bus,,i would like a shared kitchen/living area with individual bedrooms/baths for each individual.
2371623845,36 to 45,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,somewhat important,not important,most important,important,somewhat important,somewhat important,,,Likely,Pay less,No,No,Walk,,
2371623935,26 to 35,Male,Master’s,,Yes,No,Single-family house,,3 bedrooms,Less than $400,No,Not likely at all,,1 bedroom apt,,,,,not important,not important,not important,not important,most important,not important,not important,not important,most important,Private Bathrooms.  Idea is impossible without one per resident.  We aren't 18 anymore.,Unlikely,Pay more,Yes,No,Walk,,"Parking Garage.  Swipe-card entry to building/Buzzer entry from room.  Dedicated in-building Super/Repairman.  SOUNDPROOFING!  Unfurnished units available... many of us need special/larger bedding, and will have to bring our own mattresses or own our own furniture.  In-facility laundry room.  LARGE Drainage pipes (due to White Rice Expansion when washed down sink and the large incidence of Asian graduate students).  Unlimited internet access/data rates... especially if I have to host Blackboard courses from the building.  Fully Carpeted (no wood floors anywhere), low-sound/padded hallways.  One bathroom per resident, this is an absolute dealbreaker.  No Children Allowed permanent residence/separate facility from married student housing (also a dealbreaker)."
2371626448,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$600 to $800,Yes,Very likely,,1 bedroom apt,,,,,somewhat important,not important,not important,somewhat important,most important,important,most important,somewhat important,,,Likely,Pay less,Yes,Yes,Bike,,
2371629395,21 to 25,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,No,Likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,somewhat important,not important,not important,most important,somewhat important,somewhat important,,,,Neutral,Pay about the same,No,No,Walk,,"calm, should aid people to focus on their studies rather than telivisions etc, shuttle service"
2371629574,46 or older,Female,Doctoral,,No,No,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,Pay less,Yes,Yes,Bike,,
2371631115,36 to 45,Female,Doctoral,,Yes,No,Duplex,,2 bedrooms,"$800 to $1,000",Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,not important,most important,important,somewhat important,not important,,,Neutral,Pay more,Yes,Yes,Bus,,
2371631835,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,,,,,most important,most important,most important,not important,important,most important,most important,not important,,,Neutral,Pay less,Yes,Yes,Bike,,
2371635746,26 to 35,Male,Doctoral,,Yes,No,Apartment,,2 bedrooms,"$800 to $1,000",Yes,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,not important,not important,somewhat important,most important,most important,important,somewhat important,somewhat important,important,"Practice rooms, art rooms, etc...",Neutral,Pay less,Yes,No,Walk,,It should seem as much like an apartment complex as possible and should not resemble dorm living at all
2371636434,26 to 35,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Not likely at all,Studio/efficiency,1 bedroom apt,,,,,,somewhat important,somewhat important,not important,most important,somewhat important,important,important,,,Neutral,Pay more,No,No,Bike,,
2371636574,21 to 25,Male,Master’s,,No,Yes,Apartment,,1 bedroom,"$800 to $1,000",Yes,Somewhat likely,,1 bedroom apt,,,,,not important,not important,not important,not important,important,important,somewhat important,somewhat important,,,Neutral,Pay about the same,Yes,No,Bus,,
2371638031,26 to 35,Male,Doctoral,,No,Yes,Apartment,,1 bedroom,"$800 to $1,000",Yes,Very likely,,,2 bedroom apt with shared bathroom,,,,most important,most important,most important,somewhat important,important,important,not important,most important,not important,,Likely,Pay less,Yes,Yes,Walk,,"Since, almost all graduate students are married it should be constructed according to family needs. 2 bedrooms with a sharing bathroom is fine."
2371638746,36 to 45,Male,Master’s,,No,No,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Not likely at all,,,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,not important,not important,not important,important,important,somewhat important,not important,not important,convenient parking,Neutral,Pay about the same,No,No,Bike,,Parking is important as well; thick walls.
2371639926,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,Less than $400,No,Somewhat likely,,1 bedroom apt,,,,,somewhat important,,important,not important,important,important,important,important,,,Neutral,Pay less,Yes,Yes,Walk,,
2371640360,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,important,not important,not important,most important,important,not important,important,,,Unlikely,Pay less,No,No,Bike,,
2371640650,26 to 35,Female,Doctoral,,Yes,No,Other (please specify),"Back house in Tech Terrace (similar to an apartment, but not quite)",Studio / Efficiency,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,important,most important,most important,most important,most important,most important,most important,Allow pets,Neutral,Pay about the same,Yes,Yes,Bike,,lots of space
2371643449,26 to 35,Male,Master’s,,Yes,No,Apartment,,2 bedrooms,Less than $400,No,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,not important,somewhat important,most important,important,most important,important,important,most important,,,Likely,Pay about the same,No,No,Bike,,
2371643474,46 or older,Male,Doctoral,,Yes,No,Single-family house,,2 bedrooms,$600 to $800,Yes,Very likely,,,,,,2 or 3 bedroom with separate bathroom (self contained family dwelling),most important,most important,,,most important,most important,,,,,Neutral,Pay less,No,No,Car,,Make it of two types: one for graduate students and the other for married students with family
2371651466,26 to 35,Female,Master’s,,Yes,No,Apartment,,3 bedrooms,Less than $400,No,Not likely at all,,1 bedroom apt,2 bedroom apt with shared bathroom,,I am not interested in on-campus housing,,not important,not important,somewhat important,somewhat important,most important,important,not important,not important,not important,,Unlikely,Pay more,Yes,Yes,Bike,,
2371651910,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,important,important,important,important,important,important,important,important,,,Neutral,Pay less,Yes,Yes,Car,,
2371652494,21 to 25,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,,,,,somewhat important,important,important,somewhat important,important,most important,important,somewhat important,important,pet-friendly environment,Neutral,Pay about the same,Yes,No,Bike,,"research area, rest and sports area, convinient parking"
2371655051,46 or older,Male,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,,"stand alone apartment, nothing shared",important,important,not important,not important,somewhat important,most important,important,most important,,,Unlikely,Pay less,Yes,No,Bus,,"build it for grown people with families, that stay all year."
2371655172,26 to 35,Female,Doctoral,,Yes,No,Single-family house,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,,,,,,
2371655451,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,$600 to $800,Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,somewhat important,not important,not important,somewhat important,most important,important,important,important,,,Likely,Pay about the same,Yes,No,Bike,,Studio apartments with no shared restrooms. Good sound isolation
2371660256,26 to 35,Female,Master’s,,Yes,No,Townhouse,,1 bedroom,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,Pay less,Yes,Yes,Walk,,Make it townhome/apartment style where each person or small group has their own space.  Cornell has great graduate student on-campus housing.
2371660341,26 to 35,Female,Master’s,,Yes,Yes,Apartment,,More than 3 bedrooms,$400 to $600,Yes,Likely,Studio/efficiency,,,,,,not important,not important,not important,not important,most important,important,not important,not important,,,Likely,Pay about the same,Yes,Yes,Walk,,Easy to access main library
2371662751,21 to 25,Male,Master’s,,No,No,Apartment,,2 bedrooms,$400 to $600,No,Not likely at all,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,not important,somewhat important,not important,important,important,somewhat important,somewhat important,,,Unlikely,Pay about the same,No,Yes,Bus,,
2371666022,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,Less than $400,No,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,not important,not important,important,somewhat important,most important,most important,not important,important,,,Likely,Pay about the same,Yes,Yes,Car,,Make them mini apartment style and laundry room is not far to walk too. Possibly make only a few rooms share laundry not the whole floor or building.
2371671417,26 to 35,Male,Doctoral,,Yes,No,Apartment,,1 bedroom,$400 to $600,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,somewhat important,not important,not important,most important,somewhat important,somewhat important,not important,,,Likely,Pay about the same,Yes,No,Walk,,"I would ask them to consider the needs of non-traditional students who are married, have children, or are 40 or older."
2371671509,26 to 35,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,Less than $400,No,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,important,important,important,important,important,important,,,Unlikely,Pay less,Yes,Yes,Walk,,
2371672132,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,Studio / Efficiency,Less than $400,Yes,Somewhat likely,Studio/efficiency,,,,,,somewhat important,somewhat important,not important,not important,most important,somewhat important,somewhat important,not important,,,Neutral,Pay more,No,No,Bike,,
2371672909,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,Studio / Efficiency,$400 to $600,Yes,Likely,,1 bedroom apt,,,,Duplex house,not important,somewhat important,not important,somewhat important,most important,important,somewhat important,somewhat important,,,Likely,Pay about the same,No,No,Bus,,"I have friends pursuing graduate degrees in other universities in the US and they offer the option to rent houses or apartments for graduate students,"
2371677359,21 to 25,Male,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,somewhat important,important,important,important,most important,most important,somewhat important,,,Unlikely,Pay more,Yes,No,Walk,,
2371677953,26 to 35,Female,Master’s,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,important,most important,important,important,important,somewhat important,most important,Pets allowed,Neutral,Pay less,Yes,Yes,Car,,"I brought my dog when I moved to Lubbock for Graduate school ate Tech... I know that some colleges are starting to offer pet friendly apartments, and as a graduate student am most likely to be more responsible then an undergraduate... Having a pet-friendly graduate only housing would have definitely caught my attention and I would have tried living on campus."
2371678834,26 to 35,Male,Doctoral,,Yes,No,Apartment,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,not important,somewhat important,important,important,important,important,not important,,,Unlikely,Pay less,Yes,Yes,Bike,,"Most likely you would attract international students, both married and non-married. Make sure that there are accommodations for both."
2371680572,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$600 to $800,,,,,,,,,,,,,,,,,,,,,,,,,
2371684029,26 to 35,Male,Doctoral,,Yes,No,Townhouse,,3 bedrooms,"$800 to $1,000",,,,,,,,,,,,,,,,,,,,,,,,,
2371684982,26 to 35,Female,Doctoral,,No,Yes,Duplex,,2 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,,,Neutral,Pay less,Yes,Yes,Car,,
2371685148,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,$600 to $800,Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,somewhat important,somewhat important,somewhat important,important,most important,important,important,important,,,Likely,Pay less,No,No,Bus,,
2371686205,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,most important,important,most important,most important,most important,most important,,,Unlikely,Pay more,Yes,Yes,Car,,
2371686224,21 to 25,Female,Master’s,,Yes,No,Apartment,,1 bedroom,Less than $400,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,not important,important,important,most important,important,not important,important,not important,,Unlikely,Pay more,Yes,Yes,Bike,,
2371687034,26 to 35,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,"$800 to $1,000",Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,not important,important,important,important,important,,Office Space where students can print their papers in case their printer breaks,Likely,Pay less,No,Yes,Bus,,
